MeterRegion,BillingCurrency,ResourceLocation,ConsumedService,ServiceInfo2,UnitOfMeasure,ProductOrderName,OfferId,IsAzureCreditEligible,PublisherName,ChargeType,Frequency,PublisherType,PricingModel,SubscriptionEnv,ResourceGroupEnv
136279897255,3590281387934736777,-2634247746359076527,-2599133794528583008,136279897255,-3713200716904862463,136279897255,4935951538393978450,1,-1837320953569161394,6756922351569037218,7561487069954442225,5830235514288670948,1862989800562063200,9164901043888610898,9164901043888610898
3723745776002297444,-9206616065206020875,-2634247746359076527,7400605863348642321,4722580973315896076,-3713200716904862463,136279897255,4935951538393978450,1,-1837320953569161394,6756922351569037218,7561487069954442225,5830235514288670948,7453218318309553536,9164901043888610898,136279897255
3723745776002297444,-9206616065206020875,2572255904448246320,7400605863348642321,136279897255,-3713200716904862463,7669475114802247149,4935951538393978450,1,136279897255,6756922351569037218,7561487069954442225,5830235514288670948,3911755241650136700,9164901043888610898,9164901043888610898
-6410944400942853474,3590281387934736777,-7548465626332798121,7400605863348642321,4722580973315896076,-3713200716904862463,-8459401811103201598,4935951538393978450,1,136279897255,6756922351569037218,7561487069954442225,5830235514288670948,3911755241650136700,9164901043888610898,9164901043888610898
3723745776002297444,3590281387934736777,-2634247746359076527,7400605863348642321,-8009615696228246733,-3713200716904862463,136279897255,4935951538393978450,1,-1837320953569161394,6756922351569037218,7561487069954442225,5830235514288670948,1862989800562063200,9164901043888610898,9164901043888610898
3723745776002297444,-9206616065206020875,2572255904448246320,7400605863348642321,4722580973315896076,-3713200716904862463,136279897255,4935951538393978450,1,-1837320953569161394,6756922351569037218,7561487069954442225,5830235514288670948,7453218318309553536,136279897255,-5481541792072857547
-3908368337552534603,3590281387934736777,-6201575012084584989,-6843726067729848715,136279897255,5885697544816725632,136279897255,4935951538393978450,1,-1837320953569161394,6756922351569037218,7561487069954442225,5830235514288670948,1862989800562063200,3603575606015506352,136279897255
136279897255,3590281387934736777,9032059151239463968,7400605863348642321,136279897255,-3713200716904862463,136279897255,4935951538393978450,1,-1837320953569161394,6756922351569037218,7561487069954442225,5830235514288670948,1862989800562063200,5245054835673910631,5245054835673910631
3723745776002297444,-9206616065206020875,2572255904448246320,8167058050673108090,136279897255,-3713200716904862463,-5221279115236838104,4935951538393978450,1,136279897255,6756922351569037218,7561487069954442225,5830235514288670948,3911755241650136700,136279897255,136279897255
3723745776002297444,-9206616065206020875,2572255904448246320,7400605863348642321,136279897255,-3713200716904862463,136279897255,4935951538393978450,1,-1837320953569161394,6756922351569037218,7561487069954442225,5830235514288670948,1862989800562063200,9164901043888610898,9164901043888610898
3723745776002297444,-9206616065206020875,-2634247746359076527,7400605863348642321,4722580973315896076,-3713200716904862463,136279897255,4935951538393978450,1,-1837320953569161394,6756922351569037218,7561487069954442225,5830235514288670948,7453218318309553536,9164901043888610898,136279897255
3723745776002297444,3590281387934736777,-2634247746359076527,7400605863348642321,-8009615696228246733,-3713200716904862463,6662722845504230565,4935951538393978450,1,136279897255,6756922351569037218,7561487069954442225,5830235514288670948,3911755241650136700,9164901043888610898,9164901043888610898
136279897255,3590281387934736777,7088681131892340987,-1428220371368165301,136279897255,7934357101573625431,136279897255,5526958534015499,1,-1837320953569161394,6756922351569037218,7561487069954442225,5830235514288670948,1862989800562063200,-2667664401980763883,-5481541792072857547
183957700403488871,-9206616065206020875,-1433382246036934081,7400605863348642321,136279897255,-3713200716904862463,-9145474456131114682,4935951538393978450,1,136279897255,6756922351569037218,7561487069954442225,5830235514288670948,3911755241650136700,9164901043888610898,9164901043888610898
3723745776002297444,-9206616065206020875,2572255904448246320,7400605863348642321,136279897255,-3713200716904862463,3442554828100200371,4935951538393978450,1,136279897255,6756922351569037218,7561487069954442225,5830235514288670948,3911755241650136700,9164901043888610898,9164901043888610898
3723745776002297444,-9206616065206020875,2572255904448246320,7400605863348642321,136279897255,-917809947819105835,136279897255,4935951538393978450,1,-1837320953569161394,6756922351569037218,7561487069954442225,5830235514288670948,1862989800562063200,136279897255,136279897255
-3908368337552534603,3590281387934736777,7088681131892340987,3171088005311832026,136279897255,5885697544816725632,136279897255,4935951538393978450,1,-1837320953569161394,6756922351569037218,7561487069954442225,5830235514288670948,1862989800562063200,9164901043888610898,9164901043888610898
-3908368337552534603,3590281387934736777,-3908368337552534603,2133253437031033865,136279897255,7934357101573625431,136279897255,4935951538393978450,1,-1837320953569161394,6756922351569037218,7561487069954442225,5830235514288670948,1862989800562063200,9164901043888610898,9164901043888610898
3723745776002297444,3590281387934736777,-2634247746359076527,7400605863348642321,-8009615696228246733,-3713200716904862463,136279897255,4935951538393978450,1,-1837320953569161394,6756922351569037218,7561487069954442225,5830235514288670948,1862989800562063200,5245054835673910631,5245054835673910631
3723745776002297444,3590281387934736777,-2634247746359076527,2478797244989145441,136279897255,-8707629520530147382,136279897255,4935951538393978450,1,-1837320953569161394,6756922351569037218,7561487069954442225,5830235514288670948,1862989800562063200,9164901043888610898,9164901043888610898
136279897255,3590281387934736777,7088681131892340987,-6556895629308399494,136279897255,-917809947819105835,136279897255,4935951538393978450,1,-1837320953569161394,6756922351569037218,7561487069954442225,5830235514288670948,1862989800562063200,-2667664401980763883,-2667664401980763883
136279897255,3590281387934736777,-3908368337552534603,-3836574328872871080,136279897255,-7824992260803332441,136279897255,4935951538393978450,1,-1837320953569161394,6756922351569037218,7561487069954442225,5830235514288670948,1862989800562063200,136279897255,9164901043888610898
136279897255,-9206616065206020875,-3908368337552534603,-3836574328872871080,136279897255,3451969216943094471,136279897255,4935951538393978450,1,-1837320953569161394,6756922351569037218,7561487069954442225,5830235514288670948,1862989800562063200,9164901043888610898,9164901043888610898
3723745776002297444,3590281387934736777,2572255904448246320,7400605863348642321,136279897255,-917809947819105835,136279897255,4935951538393978450,1,-1837320953569161394,6756922351569037218,7561487069954442225,5830235514288670948,1862989800562063200,9164901043888610898,9164901043888610898
136279897255,-9206616065206020875,2572255904448246320,-1428220371368165301,136279897255,7934357101573625431,136279897255,4935951538393978450,1,-1837320953569161394,6756922351569037218,7561487069954442225,5830235514288670948,1862989800562063200,136279897255,136279897255
-6065681624721579705,3590281387934736777,7088681131892340987,7400605863348642321,-8009615696228246733,-3713200716904862463,-3079238648692891002,4935951538393978450,1,136279897255,6756922351569037218,7561487069954442225,5830235514288670948,3911755241650136700,9164901043888610898,9164901043888610898
3723745776002297444,3590281387934736777,-2634247746359076527,-1428220371368165301,136279897255,7934357101573625431,136279897255,4935951538393978450,1,-1837320953569161394,6756922351569037218,7561487069954442225,5830235514288670948,1862989800562063200,9164901043888610898,9164901043888610898
3723745776002297444,-9206616065206020875,-2634247746359076527,7400605863348642321,4722580973315896076,-3713200716904862463,136279897255,4935951538393978450,1,-1837320953569161394,6756922351569037218,7561487069954442225,5830235514288670948,1862989800562063200,9164901043888610898,136279897255
3723745776002297444,-9206616065206020875,-2634247746359076527,7400605863348642321,4722580973315896076,-3713200716904862463,136279897255,4935951538393978450,1,-1837320953569161394,6756922351569037218,7561487069954442225,5830235514288670948,7453218318309553536,9164901043888610898,136279897255
136279897255,-9206616065206020875,141493438464008560,3913465755601436812,136279897255,-6487159168084720098,136279897255,4935951538393978450,1,-1837320953569161394,6756922351569037218,7561487069954442225,5830235514288670948,1862989800562063200,9164901043888610898,9164901043888610898
136279897255,-9206616065206020875,-1433382246036934081,8539038144679409899,136279897255,4465760164267352717,136279897255,4935951538393978450,1,-1837320953569161394,6756922351569037218,7561487069954442225,5830235514288670948,1862989800562063200,9164901043888610898,9164901043888610898
